time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,15,5,0,0
2026-06-18 00:00:00+00:00,25,7,0,0
2026-06-19 00:00:00+00:00,39,10,0,0
2026-06-20 00:00:00+00:00,39,9,0,0
2026-06-21 00:00:00+00:00,39,11,0,0
2026-06-22 00:00:00+00:00,27,8,2,2
2026-06-23 00:00:00+00:00,44,11,1,1
2026-06-24 00:00:00+00:00,20,5,0,0
2026-06-25 00:00:00+00:00,44,12,0,0
2026-06-26 00:00:00+00:00,26,8,0,0
2026-06-27 00:00:00+00:00,9,4,0,0
2026-06-28 00:00:00+00:00,3,3,0,0
2026-06-29 00:00:00+00:00,1,1,0,0
2026-06-30 00:00:00+00:00,1,1,0,0
